127.0.0.1 - - [13/Feb/2024:00:15:21 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Feb/2024:00:15:22 +0900] "GET /BBS/view.jsp HTTP/1.1" 200 2982
0:0:0:0:0:0:0:1 - - [13/Feb/2024:00:15:24 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1913
0:0:0:0:0:0:0:1 - - [13/Feb/2024:00:15:26 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 3091
0:0:0:0:0:0:0:1 - - [13/Feb/2024:00:15:28 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 2982
0:0:0:0:0:0:0:1 - - [13/Feb/2024:00:38:58 +0900] "GET /BBS/view.jsp HTTP/1.1" 500 89
0:0:0:0:0:0:0:1 - - [13/Feb/2024:00:39:00 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 3091
0:0:0:0:0:0:0:1 - - [13/Feb/2024:00:39:02 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 3383
0:0:0:0:0:0:0:1 - - [13/Feb/2024:00:39:13 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2660
0:0:0:0:0:0:0:1 - - [13/Feb/2024:00:39:18 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [13/Feb/2024:00:39:18 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1876
0:0:0:0:0:0:0:1 - - [13/Feb/2024:00:39:20 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 3054
0:0:0:0:0:0:0:1 - - [13/Feb/2024:00:39:21 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 3524
0:0:0:0:0:0:0:1 - - [13/Feb/2024:00:39:24 +0900] "GET /BBS/update.jsp?bbsID=1 HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [13/Feb/2024:00:44:07 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2948
0:0:0:0:0:0:0:1 - - [13/Feb/2024:00:44:20 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [13/Feb/2024:00:44:20 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 3313
0:0:0:0:0:0:0:1 - - [13/Feb/2024:00:44:22 +0900] "GET /BBS/view.jsp?bbsID=2 HTTP/1.1" 200 3540
0:0:0:0:0:0:0:1 - - [13/Feb/2024:00:44:47 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 3313
0:0:0:0:0:0:0:1 - - [13/Feb/2024:00:44:47 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1876
0:0:0:0:0:0:0:1 - - [13/Feb/2024:00:44:48 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1876
0:0:0:0:0:0:0:1 - - [13/Feb/2024:00:44:48 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 3313
0:0:0:0:0:0:0:1 - - [13/Feb/2024:00:44:49 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 3313
0:0:0:0:0:0:0:1 - - [13/Feb/2024:00:44:49 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1876
0:0:0:0:0:0:0:1 - - [13/Feb/2024:00:47:16 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1876
0:0:0:0:0:0:0:1 - - [13/Feb/2024:00:47:16 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 3313
0:0:0:0:0:0:0:1 - - [13/Feb/2024:00:47:17 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 3313
0:0:0:0:0:0:0:1 - - [13/Feb/2024:00:47:19 +0900] "GET /BBS/view.jsp?bbsID=2 HTTP/1.1" 200 3545
0:0:0:0:0:0:0:1 - - [13/Feb/2024:00:47:20 +0900] "GET /BBS/update.jsp?bbsID=2 HTTP/1.1" 404 802
