127.0.0.1 - - [01/Mar/2024:14:03:09 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [01/Mar/2024:14:03:10 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2880
0:0:0:0:0:0:0:1 - - [01/Mar/2024:14:03:10 +0900] "GET /BBS/images/3.jpeg HTTP/1.1" 200 13572
0:0:0:0:0:0:0:1 - - [01/Mar/2024:14:03:10 +0900] "GET /BBS/images/1.jpeg HTTP/1.1" 200 11758
0:0:0:0:0:0:0:1 - - [01/Mar/2024:14:03:10 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [01/Mar/2024:14:03:10 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [01/Mar/2024:14:03:10 +0900] "GET /BBS/images/2.JPG HTTP/1.1" 200 38362
0:0:0:0:0:0:0:1 - - [01/Mar/2024:14:03:10 +0900] "GET /BBS/css/custom.css HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [01/Mar/2024:14:03:11 +0900] "GET /BBS/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [01/Mar/2024:14:03:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Mar/2024:14:03:20 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 3137
0:0:0:0:0:0:0:1 - - [01/Mar/2024:14:03:22 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2880
0:0:0:0:0:0:0:1 - - [01/Mar/2024:14:03:40 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2880
